id,name,address,city,state,phone,website,source,source_url,keyword,confidence_score,collected_at
"cmp-3ef5acc5","Diverse Staffing Dallas","3208 Belt Line Rd Suite 208, Dallas, TX 75234, USA","Dallas","TX","(469) 986-2979","https://www.diversestaffing.com","google_places","https://maps.google.com/?cid=13210795051004517768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","IT staffing","0.94","2026-04-24T02:59:51.978Z"
"cmp-a9aa41cb","Onin Staffing","13260 Josey Ln Suite 113, Farmers Branch, TX 75234, USA","Dallas","TX","(972) 484-8300","http://www.oninstaffing.com","google_places","https://maps.google.com/?cid=12166429877389157439&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","IT staffing","0.94","2026-04-24T02:59:51.980Z"
"cmp-b94093bb","Memco Staffing","1860 Crown Dr #1400, Farmers Branch, TX 75234, USA","Dallas","TX","(972) 556-1867","http://www.memcostaffing.com","google_places","https://maps.google.com/?cid=16866367360526606258&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","IT staffing","0.94","2026-04-24T02:59:51.980Z"
"cmp-a8ed0f0a","Timeline Staffing, LLC","13601 Preston Rd Suite 106, Dallas, TX 75240, USA","Dallas","TX","(214) 677-0812","http://timelinestaffing.com","google_places","https://maps.google.com/?cid=10792544957695710477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","IT staffing","0.94","2026-04-24T02:59:51.980Z"
"cmp-6c322072","Pridestaff","14850 Quorum Dr Suite 205, Dallas, TX 75254, USA","Dallas","TX","(972) 661-1616","https://www.staffingindallas.com","google_places","https://maps.google.com/?cid=18157340036990638150&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","IT staffing","0.94","2026-04-24T02:59:51.981Z"
"cmp-c37e99bc","Integra Staffing, Inc.","16475 Dallas Pkwy #185, Addison, TX 75001, USA","Dallas","TX","(972) 972-8180","http://www.integrastaffinginc.com","google_places","https://maps.google.com/?cid=13780740156219229609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","IT staffing","0.94","2026-04-24T02:59:51.981Z"
"cmp-9dc911b4","Cornerstone Staffing","1845 Woodall Rodgers Fwy #1550, Dallas, TX 75201, USA","Dallas","TX","(214) 785-6700","https://www.cornerstonestaffing.com/locations-contact-us/dallas","google_places","https://maps.google.com/?cid=14020812412527737512&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","IT staffing","0.94","2026-04-24T02:59:51.981Z"
"cmp-90eb1bb3","High Profile Staffing","17250 Dallas Pkwy, Dallas, TX 75248, USA","Dallas","TX","(972) 991-7900","http://www.highprofilestaffing.com","google_places","https://maps.google.com/?cid=3698029248486582118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","IT staffing","0.94","2026-04-24T02:59:51.981Z"
"cmp-5ed42383","Gtn Technical Staffing","5151 Belt Line Rd Ste 700, Dallas, TX 75254, USA","Dallas","TX","(214) 996-9400","https://www.gtntechnicalstaffing.com","google_places","https://maps.google.com/?cid=11232503351556304726&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","IT staffing","0.94","2026-04-24T02:59:51.981Z"
"cmp-d1f6b929","A+ Staffing","3626 N Hall St #620, Dallas, TX 75219, USA","Dallas","TX","(214) 357-9500","https://apluspeople.com","google_places","https://maps.google.com/?cid=11710967025847677377&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","IT staffing","0.94","2026-04-24T02:59:51.981Z"
